TripID,StartDate,StartTime,EndDate,EndTime,TripDuration,TripDistance,StartLatitude,StartLongitude,EndLatitude,EndLongitude,DayOfWeek,HourNum
7cf0946e-5a4f-564d-a714-2d408b41f0f2,2020-02-01,08:15,2020-02-01,08:30,11,0.007,38.255,-85.741,38.255,-85.741,7,8
98ddd2a8-2a29-5f5c-b377-d1b730acdd42,2020-02-01,08:15,2020-02-01,08:15,6,0.302,38.254,-85.757,38.256,-85.752,7,8
58804569-23e9-58dc-8213-ac589ca8c633,2020-02-01,08:15,2020-02-01,08:15,8,1.205,38.218,-85.76,38.216,-85.742,7,8
c6b46339-6bce-56a7-8003-9acdcf2d9b74,2020-02-01,08:30,2020-02-01,08:45,2,0.011,38.257,-85.762,38.257,-85.762,7,8
70792c2e-f48a-5240-8438-a79038e9e75b,2020-02-01,08:30,2020-02-01,08:45,10,1.413,38.222,-85.75,38.205,-85.76,7,8
bc54f727-33e4-5977-ab19-a335a3792ca0,2020-02-01,08:30,2020-02-01,08:45,10,0.628,38.256,-85.753,38.255,-85.757,7,8
26828307-1cdd-5b03-a179-0bffdffd14db,2020-02-01,08:30,2020-02-01,09:00,21,0.312,38.256,-85.752,38.255,-85.757,7,8
48a37ef7-828e-5042-a272-bf50b1bee972,2020-02-01,08:30,2020-02-01,08:30,1,0.127,38.257,-85.759,38.257,-85.761,7,8
47b2ad0f-e842-5cd6-9670-ff2b8f75d684,2020-02-01,08:30,2020-02-01,08:30,6,0.709,38.255,-85.758,38.25,-85.755,7,8
acb76cfc-c260-5dd8-9b12-7323209a5a1e,2020-02-01,08:45,2020-02-01,08:45,4,0.235,38.257,-85.759,38.259,-85.755,7,8
10d9cb3d-5725-5ca3-b864-7ce67d316a99,2020-02-01,08:45,2020-02-01,09:00,5,0.354,38.254,-85.757,38.249,-85.758,7,8
2931524e-672d-5304-b790-9c9150e3fae6,2020-02-01,08:45,2020-02-01,09:15,31,2.990,38.226,-85.764,38.226,-85.735,7,8
fbdde870-5cb8-5d06-b0e1-4824b4bcc00d,2020-02-01,08:45,2020-02-01,08:45,1,0.294,38.217,-85.763,38.221,-85.765,7,8
0734d83a-1f99-508e-a7bf-84291d0f6d9f,2020-02-01,09:00,2020-02-01,09:00,4,0.034,38.218,-85.763,38.219,-85.763,7,8
7a55d753-fbf5-54b2-b277-9d3a8f7bba06,2020-02-01,09:00,2020-02-01,09:15,9,1.721,38.214,-85.744,38.229,-85.76,7,8
289dfab7-9da6-5628-85ab-20cead96f0fc,2020-02-01,09:00,2020-02-01,09:15,13,1.636,38.226,-85.751,38.226,-85.73,7,8
89a1f503-1d26-5257-84d6-ca4c1e7227bd,2020-02-01,09:00,2020-02-01,09:15,15,1.994,38.255,-85.754,38.254,-85.744,7,8
3abbbcff-b3e8-598c-9786-ef9218546c95,2020-02-01,09:00,2020-02-01,09:00,2,0.181,38.254,-85.754,38.253,-85.757,7,9
b0fdb419-f8f6-514b-b540-f9e1bc95e255,2020-02-01,09:15,2020-02-01,09:30,2,0.296,38.218,-85.746,38.221,-85.749,7,9
dda70d39-2b32-57ce-a9a3-d612ae0e0eca,2020-02-01,09:15,2020-02-01,09:45,15,0.321,38.22,-85.761,38.219,-85.767,7,9
1496e4dd-ee6e-5dc8-8f64-0225c9aa033b,2020-02-01,09:15,2020-02-01,09:30,15,0.379,38.221,-85.761,38.22,-85.767,7,9
22314d90-3407-582f-a489-066fecff5115,2020-02-01,09:15,2020-02-01,09:15,8,1.660,38.252,-85.754,38.246,-85.764,7,9
92551854-d4d3-5441-9d77-222e2d039314,2020-02-01,09:45,2020-02-01,10:00,14,0.019,38.249,-85.757,38.249,-85.757,7,9
18c7d740-b888-520e-b354-0f9863c2be39,2020-02-01,09:45,2020-02-01,10:00,15,1.612,38.25,-85.755,38.241,-85.735,7,9
05bbf5a0-eead-5385-94a5-e7dcacaad143,2020-02-01,09:45,2020-02-01,09:45,8,1.306,38.246,-85.749,38.227,-85.752,7,9
d381bd25-edc5-5e00-8c72-2b3049fb4a33,2020-02-01,09:45,2020-02-01,09:45,7,0.833,38.221,-85.76,38.212,-85.754,7,9
0d08f423-08db-5503-a5f8-a9ba15262b8e,2020-02-01,10:00,2020-02-01,10:15,10,0.229,38.216,-85.756,38.214,-85.753,7,10
5a3f534c-08d7-55e6-bd6e-6d42f7f4f635,2020-02-01,10:15,2020-02-01,10:30,4,0.361,38.244,-85.739,38.244,-85.745,7,10
8dd98c76-2a0e-5954-94f2-f3fa22b327c4,2020-02-01,10:15,2020-02-01,11:45,77,2.495,38.262,-85.742,38.261,-85.754,7,10
214ea591-6ae0-5f12-b48b-7f4a8084b10b,2020-02-01,10:15,2020-02-01,10:15,3,0.634,38.221,-85.764,38.217,-85.759,7,10
1c884c95-9787-5867-80fd-fc12b0b4f686,2020-02-01,10:30,2020-02-01,10:30,4,0.247,38.257,-85.746,38.256,-85.747,7,10
25193691-5a35-5faa-82a2-2e38a79b5081,2020-02-01,10:30,2020-02-01,10:30,1,0.179,38.256,-85.747,38.256,-85.748,7,10
1e496d01-a8e6-5b82-bf40-8cdf5593f46a,2020-02-01,10:45,2020-02-01,10:45,12,0.805,38.242,-85.738,38.239,-85.73,7,10
15f589aa-551d-5d1d-adee-c183da8da3a9,2020-02-01,10:45,2020-02-01,10:45,11,0.701,38.237,-85.735,38.235,-85.727,7,10
55c2537d-2203-534a-bd97-5effb5fd26a3,2020-02-01,10:45,2020-02-01,11:00,5,0.762,38.247,-85.73,38.244,-85.727,7,10
66b84dac-f5ab-53e4-9d27-0813093a1249,2020-02-01,10:45,2020-02-01,10:45,2,0.241,38.217,-85.762,38.217,-85.759,7,10
085c8530-1485-5607-95c9-07997ffd0667,2020-02-01,10:45,2020-02-01,10:45,6,0.827,38.213,-85.756,38.223,-85.761,7,10
bfd4c0df-8d31-5122-9198-0ebf97ce474f,2020-02-01,11:00,2020-02-01,11:00,1,0.039,38.257,-85.762,38.257,-85.761,7,11
e3d0580b-b09a-5f91-a746-7e9584cd1f9a,2020-02-01,11:00,2020-02-01,11:00,3,0.526,38.222,-85.762,38.229,-85.76,7,10
442b7e20-78a9-56a0-8c9b-cdb295f66e86,2020-02-01,11:00,2020-02-01,11:00,2,0.288,38.217,-85.761,38.217,-85.764,7,10
ca5a1dba-49c7-5871-8e5d-308e16095907,2020-02-01,11:15,2020-02-01,11:15,9,0.345,38.257,-85.76,38.257,-85.757,7,11
